Type,Name,OID,Code System,Code System OID,Status,Condition Name,Condition Code,Condition Code System
Diagnosis Problem,Fertilizer Poisoning (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1737,SNOMEDCT,2.16.840.1.113883.6.96,Published,Accidental poisoning caused by fertilizers (disorder),216809001,SNOMEDCT
Diagnosis Problem,Agricultural Chemical Poisoning [Unspecified Chemical] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1738,SNOMEDCT,2.16.840.1.113883.6.96,Published,Accidental poisoning caused by fertilizers (disorder),216809001,SNOMEDCT
Diagnosis Problem,Agricultural Chemical Poisoning [Unspecified Chemical] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2201,ICD10CM,2.16.840.1.113883.6.90,Published,Accidental poisoning caused by fertilizers (disorder),216809001,SNOMEDCT
Diagnosis Problem,Kawasaki disease (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1658,SNOMEDCT,2.16.840.1.113883.6.96,Published,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,SNOMEDCT
Diagnosis Problem,Kawasaki disease (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1659,ICD10CM,2.16.840.1.113883.6.90,Published,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,SNOMEDCT
Diagnosis Problem,Acute Flaccid Myelitis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1429,ICD10CM,2.16.840.1.113883.6.90,Published,Acute flaccid myelitis (disorder),897031002,SNOMEDCT
Diagnosis Problem,Acute Flaccid Myelitis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1387,SNOMEDCT,2.16.840.1.113883.6.96,Published,Acute flaccid myelitis (disorder),897031002,SNOMEDCT
Diagnosis Problem,Poliomyelitis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.124,SNOMEDCT,2.16.840.1.113883.6.96,Published,Acute poliomyelitis (disorder),398102009,SNOMEDCT
Diagnosis Problem,Poliomyelitis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.123,ICD10CM,2.16.840.1.113883.6.90,Published,Acute poliomyelitis (disorder),398102009,SNOMEDCT
Diagnosis Problem,Acute Flaccid Paralysis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.725,SNOMEDCT,2.16.840.1.113883.6.96,Published,Acute poliomyelitis (disorder),398102009,SNOMEDCT
Diagnosis Problem,Vaccine Adverse Event (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1605,SNOMEDCT,2.16.840.1.113883.6.96,Published,Adverse reaction to component of vaccine product (disorder),293104008,SNOMEDCT
Diagnosis Problem,Vaccine Adverse Event (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1604,ICD10CM,2.16.840.1.113883.6.90,Published,Adverse reaction to component of vaccine product (disorder),293104008,SNOMEDCT
Diagnosis Problem,Anaplasmosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.235,SNOMEDCT,2.16.840.1.113883.6.96,Published,Anaplasmosis (disorder),13906002,SNOMEDCT
Diagnosis Problem,Anaplasmosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2198,ICD10CM,2.16.840.1.113883.6.90,Published,Anaplasmosis (disorder),13906002,SNOMEDCT
Diagnosis Problem,Fetal Anencephaly (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2112,SNOMEDCT,2.16.840.1.113883.6.96,Published,Anencephalus (disorder),89369001,SNOMEDCT
Diagnosis Problem,Anencephaly (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2110,SNOMEDCT,2.16.840.1.113883.6.96,Published,Anencephalus (disorder),89369001,SNOMEDCT
Diagnosis Problem,Fetal Anencephaly (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2113,ICD10CM,2.16.840.1.113883.6.90,Published,Anencephalus (disorder),89369001,SNOMEDCT
Diagnosis Problem,Anencephaly (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2111,ICD10CM,2.16.840.1.113883.6.90,Published,Anencephalus (disorder),89369001,SNOMEDCT
Diagnosis Problem,"Animal Bite [Mammal, Excluding Dogs] (Disorders) (ICD10CM)",2.16.840.1.113762.1.4.1146.1586,ICD10CM,2.16.840.1.113883.6.90,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,Animal Bite [Excluding Mammals] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1587,ICD10CM,2.16.840.1.113883.6.90,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,Animal Bite [Dog] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1580,SNOMEDCT,2.16.840.1.113883.6.96,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,Animal Bite [Excluding Mammals] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1582,SNOMEDCT,2.16.840.1.113883.6.96,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,"Animal Bite [Mammal, Excluding Dogs] (Disorders) (SNOMED)",2.16.840.1.113762.1.4.1146.1581,SNOMEDCT,2.16.840.1.113883.6.96,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,Animal Bite [Dog] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1585,ICD10CM,2.16.840.1.113883.6.90,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,Animal Bite [Unspecified Animal] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1584,SNOMEDCT,2.16.840.1.113883.6.96,Published,Animal bite wound (disorder) ,399907009,SNOMEDCT
Diagnosis Problem,Anthrax (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.411,ICD10CM,2.16.840.1.113883.6.90,Published,Anthrax (disorder),409498004,SNOMEDCT
Diagnosis Problem,Anthrax (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.410,SNOMEDCT,2.16.840.1.113883.6.96,Published,Anthrax (disorder),409498004,SNOMEDCT
Diagnosis Problem,Arboviral Disease [Other] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.326,ICD10CM,2.16.840.1.113883.6.90,Published,Arbovirus infection (disorder),40610006,SNOMEDCT
Diagnosis Problem,Arboviral Disease [Other] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.963,SNOMEDCT,2.16.840.1.113883.6.96,Published,Arbovirus infection (disorder),40610006,SNOMEDCT
Diagnosis Problem,Asbestosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1758,SNOMEDCT,2.16.840.1.113883.6.96,Published,Asbestosis (disorder),22607003,SNOMEDCT
Diagnosis Problem,Pleural Disease [Asbestosis Induced] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1761,ICD10CM,2.16.840.1.113883.6.90,Published,Asbestosis (disorder),22607003,SNOMEDCT
Diagnosis Problem,Asbestosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1760,ICD10CM,2.16.840.1.113883.6.90,Published,Asbestosis (disorder),22607003,SNOMEDCT
Diagnosis Problem,Pleural Disease [Asbestosis Induced] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1759,SNOMEDCT,2.16.840.1.113883.6.96,Published,Asbestosis (disorder),22607003,SNOMEDCT
Diagnosis Problem,"Nontuberculous Mycobacteria Infection, Pulmonary (Disorders) (ICD10CM)",2.16.840.1.113762.1.4.1146.1799,ICD10CM,2.16.840.1.113883.6.90,Published,Atypical mycobacterial infection of lung (disorder),1731000119106,SNOMEDCT
Diagnosis Problem,"Nontuberculous Mycobacteria Infection, Pulmonary (Disorders) (SNOMED)",2.16.840.1.113762.1.4.1146.1798,SNOMEDCT,2.16.840.1.113883.6.96,Published,Atypical mycobacterial infection of lung (disorder),1731000119106,SNOMEDCT
Diagnosis Problem,Babesiosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.257,ICD10CM,2.16.840.1.113883.6.90,Published,Babesiosis (disorder),21061004,SNOMEDCT
Diagnosis Problem,Babesiosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.256,SNOMEDCT,2.16.840.1.113883.6.96,Published,Babesiosis (disorder),21061004,SNOMEDCT
Diagnosis Problem,Granulomatous Amebic Encephalitis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1264,SNOMEDCT,2.16.840.1.113883.6.96,Published,Balamuthia mandrillaris (organism) ,115635005,SNOMEDCT
Diagnosis Problem,Bartonella quintana infection (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2034,ICD10CM,2.16.840.1.113883.6.90,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Animal Bite or Scratch [Cat] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2025,SNOMEDCT,2.16.840.1.113883.6.96,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bartonella quintana infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2031,SNOMEDCT,2.16.840.1.113883.6.96,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bartonellosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2028,ICD10CM,2.16.840.1.113883.6.90,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Animal Bite or Scratch [Cat] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2026,ICD10CM,2.16.840.1.113883.6.90,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bartonella henselae infection (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2033,ICD10CM,2.16.840.1.113883.6.90,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bartonellosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2027,SNOMEDCT,2.16.840.1.113883.6.96,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bartonella henselae infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2030,SNOMEDCT,2.16.840.1.113883.6.96,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bacillary angiomatosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2024,SNOMEDCT,2.16.840.1.113883.6.96,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Bartonella bacilliformis infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2032,SNOMEDCT,2.16.840.1.113883.6.96,Published,Bartonellosis (disorder),266123003,SNOMEDCT
Diagnosis Problem,Blastomycosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1245,ICD10CM,2.16.840.1.113883.6.90,Published,Blastomycosis (disorder),69996000,SNOMEDCT
Diagnosis Problem,Blastomycosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1244,SNOMEDCT,2.16.840.1.113883.6.96,Published,Blastomycosis (disorder),69996000,SNOMEDCT
Diagnosis Problem,Brucellosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.185,SNOMEDCT,2.16.840.1.113883.6.96,Published,Brucellosis (disorder),75702008,SNOMEDCT
Diagnosis Problem,Brucellosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.184,ICD10CM,2.16.840.1.113883.6.90,Published,Brucellosis (disorder),75702008,SNOMEDCT
Diagnosis Problem,Byssinosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1762,SNOMEDCT,2.16.840.1.113883.6.96,Published,Byssinosis (disorder),85761009,SNOMEDCT
Diagnosis Problem,Byssinosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1763,ICD10CM,2.16.840.1.113883.6.90,Published,Byssinosis (disorder),85761009,SNOMEDCT
Diagnosis Problem,Cadmium Exposure and Toxicity (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1589,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cadmium poisoning (disorder),3398004,SNOMEDCT
Diagnosis Problem,Cadmium Exposure and Toxicity (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1588,ICD10CM,2.16.840.1.113883.6.90,Published,Cadmium poisoning (disorder),3398004,SNOMEDCT
Diagnosis Problem,Campylobacteriosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.80,ICD10CM,2.16.840.1.113883.6.90,Published,Campylobacteriosis (disorder),86500004,SNOMEDCT
Diagnosis Problem,Campylobacteriosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.79,SNOMEDCT,2.16.840.1.113883.6.96,Published,Campylobacteriosis (disorder),86500004,SNOMEDCT
Diagnosis Problem,Carbapenem Resistant Bacterial Infection (SNOMED),2.16.840.1.113762.1.4.1146.1672,SNOMEDCT,2.16.840.1.113883.6.96,Published,Carbapenem resistant Acinetobacter baumannii (organism),715174007,SNOMEDCT
Diagnosis Problem,CRAB (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1670,SNOMEDCT,2.16.840.1.113883.6.96,Published,Carbapenem resistant Acinetobacter baumannii (organism),715174007,SNOMEDCT
Diagnosis Problem,Carbapenem Resistant Bacterial Infection (SNOMED),2.16.840.1.113762.1.4.1146.1672,SNOMEDCT,2.16.840.1.113883.6.96,Published,Carbapenem resistant Enterobacteriaceae (organism),712662001,SNOMEDCT
Diagnosis Problem,CRE (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1207,SNOMEDCT,2.16.840.1.113883.6.96,Published,Carbapenem resistant Enterobacteriaceae (organism),712662001,SNOMEDCT
Diagnosis Problem,Carbapenem Resistant Bacterial Infection (SNOMED),2.16.840.1.113762.1.4.1146.1672,SNOMEDCT,2.16.840.1.113883.6.96,Published,Carbapenem resistant Pseudomonas aeruginosa (organism),726492000,SNOMEDCT
Diagnosis Problem,Chancroid (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.393,ICD10CM,2.16.840.1.113883.6.90,Published,Chancroid (disorder),266143009,SNOMEDCT
Diagnosis Problem,Chancroid (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.392,SNOMEDCT,2.16.840.1.113883.6.96,Published,Chancroid (disorder),266143009,SNOMEDCT
Diagnosis Problem,Chikungunya Virus Disease (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1164,SNOMEDCT,2.16.840.1.113883.6.96,Published,Chikungunya fever (disorder),111864006,SNOMEDCT
Diagnosis Problem,Chikungunya Virus Disease (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1161,ICD10CM,2.16.840.1.113883.6.90,Published,Chikungunya fever (disorder),111864006,SNOMEDCT
Diagnosis Problem,Trachoma (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.610,ICD10CM,2.16.840.1.113883.6.90,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Chlamydia trachomatis Infection [Conjunctivitis] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.633,SNOMEDCT,2.16.840.1.113883.6.96,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Chlamydia trachomatis Infection [Secondary Sites Complications] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.632,SNOMEDCT,2.16.840.1.113883.6.96,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Trachoma (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.609,SNOMEDCT,2.16.840.1.113883.6.96,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Chlamydia trachomatis Infection [Conjunctivitis] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.635,ICD10CM,2.16.840.1.113883.6.90,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Chlamydia trachomatis Infection [Secondary Sites Complications] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.634,ICD10CM,2.16.840.1.113883.6.90,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Chlamydia trachomatis Infection [Cervicitis Urethritis LGV] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.53,ICD10CM,2.16.840.1.113883.6.90,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Chlamydia trachomatis Infection [Cervicitis Urethritis LGV] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.52,SNOMEDCT,2.16.840.1.113883.6.96,Published,Chlamydia trachomatis infection (disorder),240589008,SNOMEDCT
Diagnosis Problem,Cholera (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.164,ICD10CM,2.16.840.1.113883.6.90,Published,Cholera (disorder),63650001,SNOMEDCT
Diagnosis Problem,Cholera (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.163,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cholera (disorder),63650001,SNOMEDCT
Diagnosis Problem,Cleft Lip Alone (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2114,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cleft lip (disorder),80281008,SNOMEDCT
Diagnosis Problem,Cleft Lip Alone (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2115,ICD10CM,2.16.840.1.113883.6.90,Published,Cleft lip (disorder),80281008,SNOMEDCT
Diagnosis Problem,Fetal Cleft Lip (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2116,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cleft lip (disorder),80281008,SNOMEDCT
